lr,batch_size,optimizer,dropout,architecture,fold,epoch,train_loss,val_acc,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",2,13,1.6108,0.4576,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",2,14,1.258,0.6956,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",2,15,0.7645,0.8112,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",3,1,2.3033,0.0955,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",3,2,2.3016,0.1117,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",3,3,2.3011,0.1117,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",3,4,2.3009,0.1117,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",3,5,2.3008,0.1117,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",3,6,2.3006,0.1117,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",3,7,2.3005,0.1117,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",3,8,2.3002,0.1117,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",3,9,2.2999,0.1117,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",3,10,2.2995,0.1117,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",3,11,2.2988,0.1117,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",3,12,2.2978,0.1117,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",3,13,2.2959,0.1117,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",3,14,2.2914,0.1462,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",3,15,2.2758,0.2057,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",1,1,0.5914,0.9464,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",1,2,0.2122,0.9599,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",1,3,0.159,0.9656,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",1,4,0.136,0.9661,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",1,5,0.1215,0.9699,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",1,6,0.1043,0.9741,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",1,7,0.091,0.972,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",1,8,0.0853,0.9734,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",1,9,0.0823,0.9747,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",1,10,0.0773,0.9742,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",1,11,0.0653,0.9747,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",1,12,0.0582,0.9694,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",1,13,0.0689,0.9741,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",1,14,0.0578,0.9777,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",1,15,0.0607,0.9754,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",2,1,0.5381,0.9458,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",2,2,0.2135,0.9608,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",2,3,0.1571,0.9596,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",2,4,0.1342,0.9637,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",2,5,0.1244,0.9706,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",2,6,0.0993,0.9594,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",2,7,0.0958,0.9755,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",2,8,0.0778,0.9526,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",2,9,0.0795,0.9758,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",2,10,0.0765,0.9733,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",2,11,0.066,0.9783,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",2,12,0.0639,0.9725,,
0.001,64,Adam,0.2,"[4096, 2048, 1024, 512, 256, 128, 64]",2,13,0.0605,0.9745,,
