rk,conf,g,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,win_pct,snapshot,champ_prob
79,Ivy,28.0,114.1,103.8,0.7474,54.8,48.8,14.4,16.1,33.2,25.8,32.0,28.7,53.4,47.3,38.5,33.7,32.0,48.0,68.0,-2.6,Yale,13.0,R64,2025,,pre,0.0
80,BW,33.0,105.5,96.4,0.7382,51.6,46.2,18.3,17.9,28.5,25.9,36.3,21.9,51.0,43.3,35.2,34.0,35.1,37.8,69.4,0.09,UC Irvine,,,2025,,pre,0.0
81,SEC,32.0,108.6,99.4,0.7348,51.1,48.3,18.6,16.5,29.5,34.3,32.5,29.5,55.2,48.2,30.5,32.3,43.5,35.8,68.8,-3.8,LSU,,,2025,,pre,0.0
82,B12,34.0,108.3,99.2,0.7333,50.6,49.5,21.0,16.4,28.9,28.3,36.3,34.8,51.9,48.5,32.2,34.1,37.3,39.1,68.3,-4.4,Colorado,,,2025,,pre,0.0
83,A10,34.0,110.0,101.0,0.7284,52.1,47.1,16.6,16.1,30.4,27.4,32.3,25.9,53.1,45.5,34.0,33.5,46.5,33.3,68.7,-4.8,Saint Joseph's,,,2025,,pre,0.0
84,B10,32.0,109.8,101.3,0.7159,49.9,50.1,16.6,16.3,30.2,30.6,31.5,33.0,50.7,49.2,32.2,34.5,35.9,34.3,63.4,-3.9,Minnesota,,,2025,,pre,0.0
85,WCC,31.0,115.5,106.6,0.7155,54.6,51.1,16.6,16.6,31.8,27.6,38.9,32.3,54.5,50.4,36.5,34.7,35.9,41.2,64.5,-4.2,Oregon St.,,,2025,,pre,0.0
86,WAC,32.0,107.9,99.7,0.7137,51.2,47.0,18.4,20.6,32.5,28.6,43.9,32.2,53.2,46.4,31.6,32.1,33.6,34.4,72.2,-2.6,Grand Canyon,13.0,R64,2025,,pre,0.0
87,MWC,33.0,112.2,103.7,0.7114,53.7,51.3,15.5,18.7,27.4,26.5,37.3,37.9,55.3,49.5,34.1,35.7,37.5,44.7,64.6,-6.5,Nevada,,,2025,,pre,0.0
88,A10,32.0,107.0,98.9,0.7109,50.2,49.7,16.0,18.7,28.0,26.9,30.9,24.4,51.9,50.8,31.4,32.3,34.9,47.6,65.0,-4.2,St. Bonaventure,,,2025,,pre,0.0
89,BSth,32.0,117.5,108.7,0.7099,56.4,49.1,15.3,16.5,34.0,29.9,37.6,36.3,57.4,48.9,36.6,32.9,39.0,36.0,67.2,-1.7,High Point,13.0,R64,2025,,pre,0.0
90,ACC,32.0,108.2,100.2,0.7082,50.7,48.5,17.4,19.1,29.7,31.8,39.4,37.5,52.3,48.9,31.7,32.0,33.7,42.1,70.4,-5.3,Florida St.,,,2025,,pre,0.0
91,MVC,33.0,111.7,103.5,0.7049,56.8,47.9,17.3,15.6,26.3,28.1,32.4,35.5,54.5,47.4,40.0,32.4,41.9,43.1,66.4,-1.6,Bradley,,,2025,,pre,0.0
92,BE,32.0,106.8,99.3,0.6969,50.4,49.4,17.1,19.6,31.6,28.9,25.8,29.3,52.1,48.5,31.8,33.8,37.4,39.6,68.9,-4.6,Georgetown,,,2025,,pre,0.0
93,B12,32.0,107.5,100.2,0.6936,48.3,53.5,19.1,20.6,31.0,29.4,41.6,36.2,48.0,54.6,32.5,34.8,35.1,43.7,72.0,-3.4,Oklahoma St.,,,2025,,pre,0.0
94,SB,33.0,109.3,101.9,0.6921,49.3,45.7,15.0,17.1,33.9,30.6,34.2,37.6,50.5,46.0,31.8,30.1,44.6,35.0,70.3,-4.4,Arkansas St.,,,2025,,pre,0.0
95,MWC,33.0,107.4,100.3,0.6887,49.7,49.3,16.2,17.8,27.3,29.8,35.8,32.0,49.6,50.5,33.3,31.9,34.6,43.4,66.5,-5.1,UNLV,,,2025,,pre,0.0
96,WCC,33.0,112.8,105.4,0.6851,56.7,51.3,20.4,17.3,31.3,33.4,32.4,32.6,58.0,52.0,36.5,33.5,41.5,38.8,71.4,-4.7,Washington St.,,,2025,,pre,0.0
97,ACC,33.0,111.1,104.0,0.6827,51.7,51.4,16.5,14.9,29.6,26.0,31.8,30.0,50.8,53.6,35.5,32.1,37.5,40.5,65.4,-7.1,Notre Dame,,,2025,,pre,0.0
98,ASun,32.0,110.0,103.1,0.6779,55.9,48.6,14.4,15.9,24.0,26.5,31.4,22.3,56.7,49.9,36.7,31.0,47.4,37.2,66.9,-4.1,Lipscomb,14.0,R64,2025,,pre,0.0
99,MAC,32.0,113.4,106.4,0.6756,55.4,49.5,16.6,17.2,33.3,29.0,26.8,33.7,55.8,50.6,36.6,31.9,45.4,38.0,71.9,-1.6,Akron,13.0,R64,2025,,pre,0.0
100,ACC,33.0,106.9,100.4,0.6728,50.4,48.8,17.4,15.6,30.5,28.6,31.2,28.5,49.9,46.7,34.1,34.6,36.2,40.5,69.4,-5.2,Georgia Tech,,,2025,,pre,0.0
101,SB,31.0,106.6,100.5,0.6633,50.1,47.2,19.9,19.8,38.6,32.0,37.8,29.3,53.9,46.2,30.3,32.6,44.8,38.1,66.9,-4.2,Troy,14.0,R64,2025,,pre,0.0
