rk,conf,g,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,snapshot,champion,win_pct,champ_prob
281,WCC,33.0,100.8,110.4,0.2606,48.1,53.2,19.3,15.4,28.8,28.2,32.8,37.1,50.3,52.9,29.7,35.8,37.8,39.5,66.8,-15.6,Pacific,,,2025,post,0,,0.0
282,SWAC,32.0,95.7,105.0,0.2546,47.5,47.4,19.8,19.6,30.5,34.7,28.9,36.2,46.2,46.5,33.1,32.6,35.8,41.3,70.2,-11.9,Texas Southern,,,2025,post,0,,0.0
283,BSky,32.0,102.0,112.0,0.2533,50.9,54.4,18.7,19.0,26.9,33.6,31.1,39.7,52.5,53.8,32.3,36.9,37.6,38.4,67.3,-16.4,Eastern Washington,,,2025,post,0,,0.0
284,MAAC,30.0,96.8,106.6,0.2497,49.9,46.9,18.4,16.4,30.6,25.6,22.4,33.2,51.5,44.9,31.4,33.7,37.6,35.4,64.3,-8.0,Marist,,,2025,post,0,,0.0
285,OVC,33.0,102.1,112.7,0.244,47.6,52.3,19.5,18.9,34.7,30.8,34.4,33.9,48.5,52.0,31.1,35.0,47.3,48.2,66.5,-15.4,Tennessee Martin,,,2025,post,0,,0.0
286,Pat,34.0,101.3,111.9,0.2415,48.0,52.5,16.1,17.8,31.3,27.2,33.8,33.8,46.8,52.6,33.3,34.9,37.1,41.2,67.2,-16.2,Navy,,,2025,post,0,,0.0
287,WAC,32.0,93.1,102.9,0.2404,45.9,52.1,25.1,23.3,28.1,33.9,41.5,48.3,45.0,52.9,32.2,33.9,25.6,42.2,65.8,-13.3,Tarleton St.,,,2025,post,0,,0.0
288,ASun,33.0,102.0,112.9,0.2372,48.7,53.8,14.8,16.8,25.8,31.2,28.9,36.0,47.1,52.0,34.0,37.9,40.2,35.9,66.2,-13.5,Austin Peay,,,2025,post,0,,0.0
289,MAAC,28.0,95.4,105.6,0.2358,44.7,47.3,20.7,17.6,37.0,31.0,34.7,37.6,42.4,47.0,32.2,31.9,38.5,38.0,64.0,-13.3,Saint Peter's,,,2025,post,0,,0.0
290,OVC,32.0,101.3,112.3,0.2352,50.7,49.6,17.4,15.2,25.0,32.4,28.8,22.2,49.0,50.6,35.1,31.9,46.4,34.1,68.1,-13.2,Tennessee Tech,,,2025,post,0,,0.0
291,BSky,34.0,100.9,112.1,0.2301,50.2,53.4,16.9,16.5,24.4,30.1,34.7,37.2,51.1,52.2,32.4,36.7,37.2,43.0,65.7,-17.1,Weber St.,,,2025,post,0,,0.0
292,SB,35.0,99.7,110.8,0.2297,44.1,51.2,16.9,16.0,36.4,32.0,30.9,35.0,45.0,51.2,28.3,34.1,35.8,35.3,66.3,-15.3,Old Dominion,,,2025,post,0,,0.0
293,MWC,32.0,98.7,109.7,0.2293,50.1,54.6,20.8,15.7,22.7,29.0,35.4,35.4,50.5,54.8,33.1,36.3,48.5,36.2,64.7,-19.3,Air Force,,,2025,post,0,,0.0
294,WCC,33.0,100.0,111.2,0.2276,45.7,54.0,18.4,18.5,29.9,31.6,30.5,46.1,46.3,51.6,29.7,38.5,35.8,38.3,71.2,-19.5,San Diego,,,2025,post,0,,0.0
295,SWAC,33.0,97.7,108.7,0.2271,48.2,48.8,19.5,16.7,28.8,30.0,35.9,32.4,48.4,49.8,31.9,31.3,33.9,36.9,69.2,-10.1,Bethune Cookman,,,2025,post,0,,0.0
296,Pat,33.0,97.8,108.9,0.2264,50.2,50.4,16.6,16.7,24.0,28.0,30.5,26.9,49.7,48.3,34.0,35.8,40.3,37.9,66.4,-16.8,Lafayette,,,2025,post,0,,0.0
297,Ivy,27.0,104.4,116.6,0.2201,52.6,56.4,15.4,16.4,25.9,26.7,29.5,25.4,53.9,54.6,33.8,39.2,39.1,41.8,71.0,-11.3,Columbia,,,2025,post,0,,0.0
298,Sum,30.0,103.7,115.8,0.2199,50.0,55.0,16.3,13.9,22.6,33.1,35.0,38.2,48.5,56.6,34.4,35.0,45.7,40.2,67.5,-17.2,Oral Roberts,,,2025,post,0,,0.0
299,NEC,34.0,100.2,112.0,0.218,51.8,51.2,19.7,16.2,25.0,29.9,24.0,27.8,52.6,53.3,33.8,32.2,42.0,43.1,67.4,-12.1,Saint Francis,16.0,R68,2025,post,0,,0.0
300,Pat,30.0,99.8,111.7,0.2154,51.1,50.7,15.6,16.1,21.4,29.1,31.5,33.9,49.1,53.0,36.4,31.2,37.3,36.7,67.4,-15.2,Lehigh,,,2025,post,0,,0.0
