rk,conf,g,rec,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,type,venue
178,Slnd,9,5–4 5–4,105.5 134,107.5 241,.4472 178,50.4 155,54.6 279,18.8 191,21.6 29,39.5 5,25.2 83,35.0 82,40.2 278,52.4 61,52.7 242,30.8 285,38.3 283,32.4 308,40.0 215,66.8 247,-2.9 209,Lamar,,,2019,C,A-N
179,BW,8,4–4 4–4,97.5 278,99.4 88,.4420 179,52.0 102,47.4 42,20.2 253,18.4 136,21.8 310,28.9 203,44.6 9,34.0 173,51.9 79,46.3 41,34.8 152,32.9 92,26.3 347,34.8 71,71.6 49,-2.4 174,Cal St. Fullerton,,,2019,C,A-N
180,SC,9,3–6 3–6,104.9 142,107.1 226,.4414 180,52.4 85,52.8 220,17.9 129,16.2 253,24.3 272,32.5 310,23.7 308,29.3 78,50.5 121,50.6 163,36.6 86,38.0 272,43.2 71,34.3 58,66.0 288,-2.8 203,Chattanooga,,,2019,C,A-N
181,MWC,9,5–4 5–4,109.5 74,111.9 304,.4377 181,52.6 76,54.5 275,16.3 49,14.5 316,29.7 115,26.6 121,32.0 139,32.8 155,49.3 167,56.6 323,37.9 58,33.8 113,43.2 71,37.0 130,67.7 198,-1.0 111,UNLV,,,2019,C,A-N
182,Ivy,7,3–4 3–4,88.1 345,90.1 12,.4367 182,43.5 336,49.5 93,22.4 322,23.4 6,21.8 310,24.9 75,34.7 88,28.4 60,45.5 300,52.8 246,27.0 342,30.3 36,39.7 144,44.8 316,70.6 68,-1.7 138,Brown,,,2019,C,A-N
183,Sum,9,3–6 3–6,105.8 128,108.5 260,.4287 183,54.3 41,53.9 260,15.4 31,15.9 271,20.2 338,24.3 60,35.2 80,42.9 309,52.0 73,51.0 177,38.5 41,39.8 312,40.3 126,33.0 34,68.9 137,-4.1 262,South Dakota,,,2019,C,A-N
184,CAA,9,4–5 4–5,100.3 235,102.9 144,.4280 184,54.9 30,48.9 73,18.3 157,13.8 330,23.3 294,25.4 91,29.7 198,33.6 167,56.3 14,47.0 58,35.2 144,34.9 169,39.2 153,35.3 86,71.0 61,-3.0 210,William & Mary,,,2019,C,A-N
185,SB,9,4–5 4–5,101.5 215,104.2 170,.4256 185,48.5 234,53.7 256,20.4 263,20.1 66,32.8 55,29.7 229,35.3 76,45.8 328,46.6 264,57.4 329,34.7 158,32.4 80,34.9 261,42.3 266,70.6 68,-2.7 200,Coastal Carolina,,,2019,C,A-N
186,Horz,9,4–5 4–5,100.7 228,103.4 152,.4250 186,52.5 81,49.2 84,18.0 138,15.6 289,20.6 331,28.3 183,31.1 154,47.2 336,53.9 40,47.4 66,33.9 185,34.6 158,47.0 23,39.2 190,72.2 32,-2.7 199,Illinois Chicago,,,2019,C,A-N
187,P12,9,1–8 1–8,99.6 242,102.3 134,.4247 187,44.5 328,56.0 314,18.3 157,19.3 95,24.7 262,28.8 199,30.0 190,37.3 239,43.4 334,59.6 343,31.1 273,34.1 126,34.0 282,42.4 268,68.9 137,-3.6 239,California,,,2019,C,A-N
